                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.73232,                  0.479,                 0.9542,                 0.8266,                0.72795,                0.78337,                0.56595,                0.76035,                0.73567,                 1.1385,               0.006766,               0.006766,               0.006766
                     51,                 0.7246,                0.48013,                0.95088,                0.86376,                0.75474,                0.80106,                0.59056,                0.75259,                0.63763,                  1.132,                 0.0067,                 0.0067,                 0.0067
                     52,                0.71997,                0.46927,                0.95355,                0.85262,                0.75607,                0.83752,                0.59923,                0.77286,                0.64853,                 1.1825,               0.006634,               0.006634,               0.006634
                     53,                 0.7253,                0.48611,                0.95221,                 0.7843,                0.74788,                0.77143,                0.55848,                0.78461,                0.69425,                 1.1748,               0.006568,               0.006568,               0.006568
                     54,                0.72703,                0.48069,                0.95235,                0.76635,                0.74506,                 0.7757,                0.56202,                0.75706,                0.82666,                 1.1461,               0.006502,               0.006502,               0.006502
                     55,                0.71552,                0.47299,                0.94628,                0.79788,                0.72556,                0.76326,                0.56195,                0.71588,                0.69512,                 1.1165,               0.006436,               0.006436,               0.006436
                     56,                0.71782,                0.46683,                0.95376,                0.78114,                 0.7591,                0.78526,                0.57365,                0.75973,                0.70183,                  1.146,                0.00637,                0.00637,                0.00637
                     57,                0.70436,                0.45906,                0.94575,                 0.7518,                0.74626,                0.74914,                0.54838,                0.75389,                0.72717,                 1.1592,               0.006304,               0.006304,               0.006304
                     58,                0.69823,                 0.4556,                0.93875,                0.86028,                0.71461,                0.79526,                0.58884,                  0.722,                0.68465,                 1.1249,               0.006238,               0.006238,               0.006238
                     59,                0.69058,                0.45957,                0.94189,                0.82648,                0.75862,                0.79612,                0.59426,                0.71114,                0.58333,                  1.109,               0.006172,               0.006172,               0.006172
                     60,                0.70826,                0.46618,                0.95319,                0.85986,                0.69357,                0.77995,                0.56608,                0.76881,                 0.5662,                 1.1536,               0.006106,               0.006106,               0.006106
                     61,                0.68906,                0.44852,                0.93899,                 0.7356,                0.72247,                0.73462,                0.55198,                0.78836,                 0.7062,                 1.1819,                0.00604,                0.00604,                0.00604
                     62,                0.69132,                 0.4504,                0.93767,                 0.7823,                0.75028,                0.75082,                0.55731,                0.77796,                 0.7101,                 1.1737,               0.005974,               0.005974,               0.005974
                     63,                0.68566,                0.44237,                0.93738,                0.80557,                0.76592,                0.80338,                0.57213,                0.76856,                0.65572,                 1.1774,               0.005908,               0.005908,               0.005908
                     64,                0.69928,                0.45899,                 0.9475,                0.82558,                0.76104,                0.81177,                0.59726,                0.74021,                0.71415,                 1.1436,               0.005842,               0.005842,               0.005842
                     65,                0.68521,                0.44614,                 0.9416,                0.79848,                0.75311,                0.77273,                 0.5579,                 0.7668,                0.54819,                 1.1873,               0.005776,               0.005776,               0.005776
                     66,                0.68199,                0.43613,                0.93503,                0.88927,                0.74343,                0.81459,                0.59278,                0.78406,                0.57875,                 1.2111,                0.00571,                0.00571,                0.00571
                     67,                0.69338,                0.44996,                0.93863,                0.83497,                0.75177,                0.80739,                 0.5829,                0.80262,                0.81117,                 1.1982,               0.005644,               0.005644,               0.005644
                     68,                0.68821,                0.44245,                0.93877,                0.89943,                0.73298,                0.79741,                0.57047,                0.76792,                 0.8006,                 1.1803,               0.005578,               0.005578,               0.005578
                     69,                0.68024,                0.45317,                0.94046,                0.83542,                0.74718,                 0.8008,                0.57779,                0.73665,                0.62827,                 1.1492,               0.005512,               0.005512,               0.005512
